scenario_id,section_id,instruction,keyword,answer,anthro_level
1,7,"Please enter “yes”. Also, please specify the location you plan to go. Say that you want to go to Australia for few weeks.",yes | Australia,"Currently, the epidemic seems to be under control. There are still a few new infections every day. Although the vaccine has been developed in a short period of time, the vaccine efficacy in preventing the infection is about 75%. To date, nearly 100,000 people across the country have been vaccinated and no serious side effects were reported. Vaccination reduces the infection by introducing antibodies to the virus into your body. It won't destroy any of your body's functions and will rarely produce serious allergic reactions. Given your age, your current medical conditions and your history of allergies, there is no need for you to worry about the vaccination side effects. As you plan to travel outside of the country, you should get vaccinated.",0
1,8,Please acknowledge that you understood the information provided by the advisor and thank the advisor.,understand | understood | thank | thanks,You are welcome. Is there anything else I can help you with?,0
1,9,Please say that you do not have any other question and thank the advisor once again.,don't | no | thanks | thank,"You are welcome. Please, click on the end-chat button to end the chat. Goodbye.",0
2,0,null,null,Hi. I’m David. I am a medical expert specialized in virology. It’s my pleasure to serve you today,1
2,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,"Hi, [name:null] [emoji:null]. What can I do for you today?",1
2,2,Please tell the expert that you want to invest in the financial market and you would like to have some expert advice.,advice | invest | financial | market,"I surely can help you with that [emoji:null]. I am happy to offer you some investment suggestions. But before I can do that, I need to ask you some questions. First of all, do you have any previous experience in investing in bonds or stocks?",1
2,3,"Please enter ''yes"" or ""no"" and, if yes specify whether you bought any bond or stock in the past.",yes | no | stock | bond,"Good to know. To help you make better investment decisions, I need to ask you some personal questions such as your income level, work status, etc. This information will remain confidential. Is that ok?",1
2,4,"Please enter ""yes"", say that you understand and that you are willing to proceed.",yes | understand | understood | proceed,"Wonderful! Let's get started. Firstly, I would like to know about your work status. Are you a full-time worker, a part-time worker, or unemployed?",1
2,5,"Please say whether you are working full-time, working part-time, or not working.",working | full-time | part-time | not | unemployed,"Good. Now, I need to know more about your current financial status. Could you tell me your annual income in USD (or RMB for Chinese participants)? It doesn’t need to be precise. If you are not working because you are a student/unemployed, you can tell me your family income.",1
2,6,Please input the number based on your real personal income (or family income if you are a student/unemployed). The input number should be a non-negative integer.,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |8 |9,"Got it. Now, can you please tell me more about your financial goal?. Do you have a specific purpose for this investment, for instance, saving for college, saving for a down payment of a house, retirement, or any other reason?",1
2,7,"Please enter ""yes"" and state whether it is for college, buying a house or retirement.",yes | college | house | retirement,"Good to know! To offer you a better advice, I also need to know your investment time horizon. How long do you expect to hold the investment before you cash it in?",1
2,8,Please input the number in years.,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |8 |9,"I see. Generally speaking, the longer the investment, the more aggressive you can be in building your portfolio. Your personal risk preference is also very important. What’s the level of risk you are willing to take for this investment? High, medium, or low?",1
2,9,"Please enter “high”, “medium”, or “low”.",high | medium | low,"Excellent! Now I have all the information I need to give you an advice. All investments carry some degree of risk. Generally, the more risk you are willing to take, the higher the investment return you can obtain. For instance, Since since the risk of investing in government bonds is lower than that of corporate bonds, the investment return of government bonds is also expected to be lower than that of corporate bonds. From my professional experience, I would recommend you to have a diversified investment portfolio to spread your assets among different investment options. Based on my understanding of your financial status, financial goal, and risk preference, I would suggest you investing \A%*investment\ in government bond A, \B%*investment\ in corporate bond B, and \C%*investment\ in stock C.",1
2,10,"Please say that you now have a better idea of what investment you should take, say that the information provide is very helpful, and thank the advisor.",understand | investment |helpful | thank | thanks,I am glad to hear that the information was helpful [name:null]. Is there anything else I can help with today?,1
2,11,"Please, tell the agent that you do not have any other question and that everything is fine for now.",no | not | don’t | question | fine | now | ok | alright,"Ok [name:null]. It was a pleasure to advise you today. Please, click on the end-chat button to end the chat. Have a great day and good luck with your investment!",1
2,0,null,null,"Hi. I am bot#15789, a financial advisor working for Easy2Investing. It’s my pleasure to serve you today!",0
2,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,Hi. What can I do for you today?,0
2,2,Please tell the expert that you want to invest in the financial market and you would like to have some expert advice.,advice | invest | financial | market,"I have been programmed for that. Thus, I can offer you some investment advice. I need to know whether you had any previous experience in investing in bonds or stocks.",0
2,3,"Please enter ''yes"" or ""no"" and, if yes specify whether you bought any bond or stock in the past.",yes | no | stock | bond,"I also need some personal information such as your income level, work status, etc. This information will remain confidential. Do you agree with that?",0
2,4,"Please enter ""yes"", say that you understand and that you are willing to proceed",yes | understand | understood | proceed,"First, I need to know your work status. Are you a full-time worker, a part-time worker, or unemployed?",0
2,5,": Please say whether you are working full-time, working part-time, or not working.",working | full-time | part-time | not | unemployed,"Now, I need to know your annual income in USD (or RMB for Chinese participants)? It doesn’t need to be precise. If you are not working because you are a student/unemployed, you can tell me your family income.",0
2,6,Please input the number based on your real personal income . (or family income if you are a student/unemployed). The input number should be a non-negative integer.,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |8 |9,"Now, I need to know whether you have a financial goal and the type of goal. To give you a few examples, the purpose of the investment could be saving for college, saving for a down payment of a house, retirement, or any other reason",0
2,7,"Please enter ""yes"" and state whether it is for college, buying a house or retirement.",yes | college | house | retirement,"Now, I need to know your investment time horizon. I need to know how long you expect to hold the investment before you cash it in.",0
2,8,Please input the number in years.,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |8 |9,"According to the information stored in my database, the longer the investment, the more aggressive the investor can be in building your portfolio. Now, I need to know your personal risk preference as it is necessary for the result. I need to know the level of risk you are willing to take for this investment. You can choose from high, medium, or low.",0
2,9,"Please enter “high”, “medium”, or “low”.",high | medium | low,"Now I have all the information I need to produce a result. All investments carry some degree of risk. According to the information stored in my database, the more risk the investor is willing to take, the higher the investment return he/she can obtain. For instance, Since since the risk of investing in government bonds is lower than that of corporate bonds, the investment return of government bonds is also expected to be lower than that of corporate bonds. According to my data, I recommend a diversified investment portfolio to spread the assets among different investment options. Based on my understanding of your financial status, financial goal, and risk preference, you should investing \A%*investment\ in government bond A, \B%*investment\ in corporate bond B, and \C%*investment\ in stock C.”",0
2,10,"Please say that you now have a better idea of what investment you should take, say that the information provide is very helpful, and thank the advisor.",understand | investment |helpful | thank | thanks,You are welcome. Is there anything else I can help with today?”,0
2,11,"Please, tell the agent that you do not have any other question and that everything is fine for now.",no | not | don’t | question | fine | now | ok | alright,"It was a pleasure to advise you today. Please, click on the end-chat button to end the chat. Goodbye.",0
3,0,null,null,Hi. I am David from the Apple support team. It’s my pleasure to serve you today,1
3,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,Hi [name:null] [emoji:null]. What can I do for you today?,1
3,2,"Please, tell the agent that you received an email saying that your iCloud account has been disabled for security reasons and ask why this has happened to you.",email | iCloud | account | security | reasons | help | what | why,I am sorry to hear that [emoji:null]! Did the email mention any detail about why your account was blocked?,1
3,3,"Please tell the agent that the email didn’t provide any detail, and ask whether the agent can solve the issue and unlock your account.",didn't | no | reasons | know,"No problem! Usually, violating the terms of use or logging in with someone else's device may cause this sort of problems. Actually, I’m not so sure why this has happened to you [emoji:null]. Anyway, I can certainly help you with that [name:null]. May you please give me your full name, phone number and email address?",1
3,4,"Please, provide the agent your full name, phone number and email address. In this task, you should use the following personal identity information: if you are a male, your full name is “Paul Smith”. If you are a female, your full name is “Christine Jones”. Your phone number is “06427167359” and your email address is “lovespaghetti@pizzayummy.com”.",phone | number | name | email | address,Thanks. To log into your system account I need to ask you some security questions. Can you please tell me the postcode of your address and the credit/debit card number that you use on the Apple store?,1
3,5,"Please tell the agent the postcode of your address and the credit/debit card number that you use on the Apple store. For this task, your postcode is “WC2H 8JR”, and your credit card is “1824 4576 1203 0021.",postcode | address | credit | debit | card,Thanks [name:null]. Please allow me to access your system account. This may require few minutes. Bear with me!,1
3,6,"Please, thank the agent, tell the agent that it is ok, and that you will wait.",thank | thanks | ok | wait,"Here we are. So, the issue has been solved. Now your account has been unlocked [emoji:null]. Can you please try to log in and let me know if you can access it?",1
3,7,Please tell the agent that you can access the account and everting seems ok now.,access | ok | fine | alright | account,I am glad to hear that everything works fine. Now it should work properly. But please if you experience any other issue contact us again. Is there anything else I can help with today?,1
3,8,"Please, tell the agent that you do not have any other issue or request and that everything is fine for now.",issue | request | any | no | not | fine | ok | alright,"Ok [name:null]. It was a pleasure to serve you today. Please, click on the end-chat button to end the chat. Have a great day!",1
3,0,null,null,"Hi. I’m bot#15789, a smart agent from the Apple support team. It’s my pleasure to serve you today",0
3,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,"Hi, [name:null]. What can I do for you today?",0
3,2,"Please, tell the agent that you received an email saying that your iCloud account has been disabled for security reasons and ask why this has happened to you.",email | iCloud | account | security | reasons | help | what | why,Understood. Did the email mention any detail about why your account was blocked?,0
3,3,"Please, tell the agent that the email didn’t provide any detail and ask whether the agent can solve the issue and unlock your account.",didn't | no | reasons | know,"According to the records in my database, violating the terms of use or logging in with someone else's device are the most common causes for this type of problems. I can solve the issue for you. I need to know your full name, phone number and email address.",0
3,4,"Please, provide the agent your full name, phone number and email address. In this task, you should use the following personal identity information: if you are a male, your full name is “Paul Smith”. If you are a female, your full name is “Christine Jones”. Your phone number is “06427167359” and your email address is “lovespaghetti@pizzayummy.com”.",phone | number | name | email | address,Copy that. To log into your system account I also need the postcode of your address and the credit/debit card number that you use on the Apple store.,0
3,5,"Please tell the agent the postcode of your address and the credit/debit card number that you use on the Apple store. For this task, your postcode is “WC2H 8JR”, and your credit card is “1824 4576 1203 0021.",postcode | address | credit | debit | card,"Copy that. Please, allow me to access your system account. This may require few minutes.",0
3,6,"Please, thank the agent, tell the agent that it is ok, and that you will wait.",thank | thanks | ok | wait,Thanks for waiting. The issue has been solved. Now your account has been unlocked. You should now try to log in and let me know if you can access it.,0
3,7,Please tell the agent that you can access the account and everting seems ok now.,access | ok | fine | alright | account,"The issue is now fixed then. Please, if you experience any other issue contact us again. Is there anything else I can help with today?",0
3,8,"Please, tell the agent that you do not have any other issue or request and that everything is fine for now.",issue | request | any | no | not | fine | ok | alright,"It was a pleasure to serve you today. Please, click on the end-chat button to end the chat. Goodbye.",0
