qid,content,min_text,max_text,form_array,type,part_id_id
66,null,Self-centered,Not self-centered,"1,2,3,4,5",bipolar,7
67,null,Unconcerned with me,Concerned with me,"1,2,3,4,5",bipolar,7
68,null,Insensitive,Sensitive,"1,2,3,4,5",bipolar,7
69,null,Not understanding,Understanding,"1,2,3,4,5",bipolar,7
70,null,Dishonest,Honest,"1,2,3,4,5",bipolar,8
71,null,Untrustworthy,Trustworthy,"1,2,3,4,5",bipolar,8
72,null,Dishonorable,Honorable,"1,2,3,4,5",bipolar,8
73,null,Immoral,Moral,"1,2,3,4,5",bipolar,8
74,null,Unethical,Ethical,"1,2,3,4,5",bipolar,8
75,null,Phoney,Genuine,"1,2,3,4,5",bipolar,8
76,Making you feel at ease,poor,excellent,"1,2,3,4,5",likert,9
77,Letting you tell your "story",poor,excellent,"1,2,3,4,5",likert,9
78,Really listening,poor,excellent,"1,2,3,4,5",likert,9
79,Being interested in you as a whole person,poor,excellent,"1,2,3,4,5",likert,9
80,Fully understand your concerns,poor,excellent,"1,2,3,4,5",likert,9
81,Showing care and compassion,poor,excellent,"1,2,3,4,5",likert,9
82,Being positive,poor,excellent,"1,2,3,4,5",likert,9
83,Explaining things clearly,poor,excellent,"1,2,3,4,5",likert,9
84,Helping you to take control,poor,excellent,"1,2,3,4,5",likert,9
85,Make a plan of action with you,poor,excellent,"1,2,3,4,5",likert,9
